"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"26-Aug-2026","INDOTHAI","Indo Thai Sec Ltd","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","40,99,670","51.20","-"
"26-Aug-2026","KCK","Kck Industries Limited","GIRIRAJ STOCK BROKING PRIVATE LIMITED","BUY","3,30,000","14.06","-"
"26-Aug-2026","LAMOSAIC","Lamosaic India Limited","NRIP JAIN","BUY","69,000","56.96","-"
"26-Aug-2026","LAMOSAIC","Lamosaic India Limited","ALTIZEN VENTURES LLP","BUY","60,000","57.31","-"
"26-Aug-2026","MVKAGRO","M.V.K. Agro Food Prod Ltd","NEO APEX SHARE BROKING SERVICES LLP","BUY","4,82,100","152.05","-"
"26-Aug-2026","POLYSIL","Polysil Irrigation Syst L","NEO APEX SHARE BROKING SERVICES LLP","BUY","2,67,500","47.46","-"
"26-Aug-2026","PWL","Physicswallah Limited","ICICI PRUDENTIAL MUTUAL FUND","BUY","2,20,00,003","117.72","-"
"26-Aug-2026","RAMBHAJO","Advit Jewels Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","6,05,877","242.94","-"
"26-Aug-2026","RAMBHAJO","Advit Jewels Limited","L7 HITECH PRIVATE LIMITED","BUY","4,40,000","246.20","-"
"26-Aug-2026","RAMBHAJO","Advit Jewels Limited","NAVRATRI SHARE TRADING PRIVATE LIMITED","BUY","2,35,000","220.13","-"
"26-Aug-2026","RAMBHAJO","Advit Jewels Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","3,06,678","241.60","-"
"26-Aug-2026","RAMBHAJO","Advit Jewels Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","2,58,130","240.51","-"
"26-Aug-2026","RAMBHAJO","Advit Jewels Limited","QE SECURITIES LLP","BUY","4,48,159","236.42","-"
"26-Aug-2026","RAMBHAJO","Advit Jewels Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","5,39,000","240.41","-"
"26-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","HRTI PRIVATE LIMITED","BUY","3,95,708","276.00","-"
"26-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","QE SECURITIES LLP","BUY","3,67,480","277.61","-"
